username,total_pr_cnt
zerok,333
vincex,1
fredjean,45
trammell,17
pzurek,93
benjaminjackson,120
julienxaop,8
puchupala,21
rh,8
outoftime,808
aaronrussell,15
boyska,86
rgarver,23
softberries,12
jonas,520
zargony,18
staale,43
Neronus,1
keiono,7
mariorz,11
jmurph,2
violasong,10
haru01,64
Flameeyes,293
jimwang,2
harupiyo,3
garyhodgson,25
kenjiyamamoto,5
keithnorm,18
rociiu,51
marcello,10
subwindow,12
grahams,37
psteiger,15
chrisparrish,4
taylanpince,4
elecnix,58
earonesty,307
brunograsselli,18
janLo,177
some1else,11
ieure,96
alsonkemp,10
penguinxr2,2
relax4u,1
swaits,6
slambert,50
guyboertje,262
robmckinnon,691
codemartial,7
jpenney,13
madprime,336
tuupola,269
jamiepinkham,16
sloser,2
bondgeek,9
karpet,310
flipback,96
bpoweski,19
neshmi,17
matiasinsaurralde,246
burnettk,43
BrianMowrey,7
seebq,12
autarch,484
sam0737,6
jesterKing,66
davetroy,2
ngcrawford,4
zuk,10
vietanh,1
KarateCode,5
dlcawley,1
leoluz,14
xlchen,3
janding,1
apalmblad,19
pboling,179
britt,12
Abizern,140
tlam,9
jpalley,8
map7,29
napszel,5
shinzui,7
kematzy,28
gps,17
agibralter,28
jonmarimba,5
koichiro,59
dommmel,22
kd5bjo,5
jparker,3
emacsen,16
rennhak,6
kgale,1
drudru,36
mulderje,1
frane,14
edallen,1
mswain,4
reynhout,19
StrangeDays,2
douglasgoodwin,4
seangeo,24
kensnyder,24
Ninju,43
royvandewater,58
dmnd,125
ryanbooker,52
liz,8
dmauldin,3
duff,145
zackola,1
cyrus,1
pjt,1
avit,121
rubymerchant,2
kolber,8
gcr,19
johnl,47
jensb,8
beanz,38
sminnee,492
HatemMahmoud,1
ashbb,15
silici0,10
timwingfield,3
twocs,39
mangar,7
goodwink,15
nojimage,120
jgarvin,8
kmdsbng,310
zstumgoren,26
youske,1
haoyayoi,4
jsoo,6
electrum,2604
redlinesoftware,1
nuna,1
dfabulich,111
kga,28
sulrich,8
dbackeus,101
harold,74
newmedio,2
gustavlarson,2
leifwalsh,187
HarryGuerrilla,1
lkosak,2
bkw,161
ellingbo,4
gregdingle,313
googletorp,51
rsvato,361
valhallasw,40
ogijun,1
elchingon,20
Nyoho,143
fijam,4
arthurgeek,21
danp,230
andk,32
shergin,19
i-am-dape,6
uhees,8
ddlsmurf,20
xrogaan,11
ravi,6
benhoskings,21
elyezer,1161
waura,62
ct,1
patrickespake,1
zerotao,14
rmetzler,119
leonte54,2
mubdi,2
kravco,24
roam,9
playpauseandstop,170
ryanmcgarvey,5
sarevok,1
jasonfranklin-stokes,2
Greenwell,11
pablito,1
auric,3
stolt45,20
bivab,33
jmj,3
ehlyzov,9
davidfstr,83
thruflo,28
ryd,11
aziz,96
technohippy,67
rohitpid,3
chuckling1,1
cpetschnig,52
turtlebender,27
jkingry,3
JEG2,20
jonasoberschweiber,13
huertanix,21
eveith,7
btatnall,6
robertpyke,5
jljusten,14
svidela,28
marianoguerra,73
timtadh,54
uchoaaa,1
goten4,5
hexorx,21
id774,170
akkartik,115
winder,334
berio,8
technosophos,1257
hirata,7
cbartlett,66
drdator,7
neves,39
stephany,2
kotishe,122
Deniz,2
fredgrott,5
justinmeza,2
sartak,55
drizzd,22
alexhung,4
dwilliams,17
halgandd,3
bval,96
zuigon,2
csharpfritz,322
mumoshu,825
taicki,3
blerou,5
poppen,35
readonlychild,2
soloz,1
